Deck,SideQuest
Galaxy of Istoria,"""Awesome Mix Vol. 1""; Put together a new playlist to boost your mood"
Galaxy of Istoria,"Pressurize the cabin. Take ten deep, mindful breaths"
Galaxy of Istoria,"Launch checklist; do a brain dump; mind-map, make a list, or journal your thoughts!"
Galaxy of Istoria,It's not rocket science. Learn something new about space exploration
Galaxy of Istoria,"Suit up, space cadet! Set out your clothes for tomorrow"
Galaxy of Istoria,Find the impostor! Remove one thing from your space that is sabotaging your best life
Galaxy of Istoria,"Fix something broken in your home. If nothing's broken, learn a life hack to make a task easier."
Galaxy of Istoria,Pour and finish a tall glass of water
Galaxy of Istoria,Change up your style for a day
Galaxy of Istoria,"Clean or wash your vehicle (car, bike, starship, etc.)"
Galaxy of Istoria,Credits will do fine! Splurge on a more expensive version of your favorite treat
Galaxy of Istoria,Tell someone in your life that you love them -even if they already know
Galaxy of Istoria,Do some engineering! Build a Lego set or complete a puzzle
Galaxy of Istoria,Create a home-cooked meal or snack using only the ingredients in your fridge and pantry
Galaxy of Istoria,Go somewhere nearby you've never been before
Galaxy of Istoria,Clean a room in your home
Galaxy of Istoria,Review the archival data. Binge-watch your favorite show with zero shame
Galaxy of Istoria,"Send a message through time. Write a one-page letter to yourself, to be read exactly one year from now."
Galaxy of Istoria,Create your own planet. Write/draw the details of the landscape!
Galaxy of Istoria,Take a quick nap with your feet up
Galaxy of Istoria,Pick out your best pair of socks and wear them today
Galaxy of Istoria,Prepare for the next invasion. Work out for 10 minutes!
Galaxy of Istoria,Write a letter or email to an astronaut! (find mailing info on Nasa's website)
Galaxy of Istoria,Always carry a towel! Wash all the towels in your home.
Galaxy of Istoria,Writing prompt: narrate your day as excitingly as possible (exaggerations welcome!)
Galaxy of Istoria,Read by candlelight
Galaxy of Istoria,Discover a new star! Learn how to make origami stars
Galaxy of Istoria,"Enter cryosleep. Go to bed early tonight, or sleep in tomorrow morning"
Galaxy of Istoria,Hang an inspirational poster or picture where you will see it often
Galaxy of Istoria,Break down a large overwhelming challenge into smaller tasks
Galaxy of Istoria,Prepare the sleeping pod. Make your bed all nice and tidy.
Galaxy of Istoria,Take a 5 minute meditation. Breathe and ground yourself.
Galaxy of Istoria,Open the pod bay doors! Spend some time out in nature
Galaxy of Istoria,Beam down to Earth! Stand barefoot in the grass
Galaxy of Istoria,Do something to support your health and/or prosperity.
Galaxy of Istoria,"Visit an aquarium or pet store, or watch some relaxing fish videos"
Galaxy of Istoria,Bring vegetation to your homeworld! Get a new plat for your home.
Galaxy of Istoria,Terraform your amosphere! Tidy up or get rid of any clutter that's disrupting your peace of mind
Galaxy of Istoria,Take a break from tech for a few hours
Galaxy of Istoria,Make astronaut food! Prep a few healthy meals for the journey ahead
Galaxy of Istoria,Contact a friendly lifeform. Call or text a friend just because
Galaxy of Istoria,Use the Force! Connect with your spiritual self through mindfulness or meditation exercises
Galaxy of Istoria,Step into the regeneration pod! Take a long shower or bath
Galaxy of Istoria,Assemble your crew. Make a list of five important people in your life and what you love about them.
